restaurantID,Name,Cuisine,Is Closed,Rating,Number of Reviews,Address,InsertTime
pSq53dIANeyXjPDEDglkUA,Loeb Boathouse Central Park,Vegetable,False,3.5,1265,E 72 St 5th Ave,Sat Oct 10 06:38:39 2020
1Lsb6F7DprPLabtbMHNURA,Lenwich,Vegetable,False,3.5,130,469 Columbus Ave,Sat Oct 10 06:38:39 2020
lA6IvTF7J8fNC5puhyS3PA,Bellini Italian Restaurant,Vegetable,False,3.5,250,483 Columbus Ave,Sat Oct 10 06:38:39 2020
Onu1nTwd-BSuaMT7kxKanw,Zingone Brothers,Vegetable,False,5.0,39,471 Columbus Ave,Sat Oct 10 06:38:39 2020
15svH3HiVDwHMSIlRYpk6A,Ashoka Indian Restaurant,Vegetable,False,4.5,251,489 Columbus Ave,Sat Oct 10 06:38:39 2020
mZb4Td9YK8f1jwsg9xU_gg,Matsu,Vegetable,False,3.5,109,483 Columbus Ave,Sat Oct 10 06:38:39 2020
xTWpl9DgIkkr5B8h8_xUpA,Lokal 83 Mediterranean Kitchen,Vegetable,False,4.5,323,473 Columbus Ave,Sat Oct 10 06:38:39 2020
W1GdZLkOWkrjuQCeXW79vw,The Wright,Vegetable,False,3.5,74,1071 5th Ave,Sat Oct 10 06:38:39 2020
dsxgbkIKyu7x7JgpAKeZPA,Tarallucci E Vino - Upper West Side,Vegetable,False,3.5,131,475 Columbus Ave,Sat Oct 10 06:38:39 2020
sipUjEvEFb-V8k5Z59OCQQ,Metropolitan Garden Design,Vegetable,False,5.0,6,22 E 88th St,Sat Oct 10 06:38:39 2020
QaolMEijS7L6eodSneOdng,Tri Dim West,Vegetable,False,4.0,98,467 Columbus Ave,Sat Oct 10 06:38:39 2020
rp_TaJRjaNmOCb8vJ2S_sw,Blossom on Columbus,Vegetable,False,4.0,381,507 Columbus Ave,Sat Oct 10 06:38:39 2020
fPa-Ai7WucnRd6OcZYHSyg,Prohibition,Vegetable,False,3.5,387,503 Columbus Ave,Sat Oct 10 06:38:39 2020
XispD33dyhesBXhDLXktVQ,Parisian Deli,Vegetable,False,3.0,19,501 Columbus Ave,Sat Oct 10 06:38:39 2020
yNC4kI9Md0Csd6zqr3oeFw,The Mark Restaurant,Vegetable,False,3.5,261,25 E 77th St,Sat Oct 10 06:38:39 2020
